Country,City,Latitude,Longitude,Temperature,Humidity %,Cloudiness %,Wind Speed (mph)
NO,longyearbyen,78.22,15.63,37.4,93,90,8.05
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
FR,veraval,49.65,0.71,60.19,77,75,6.93
RU,ola,59.58,151.3,28.4,92,56,1.83
ZA,bredasdorp,-34.53,20.04,50.0,71,88,3.36
PF,rikitea,-23.12,-134.97,75.99,100,56,10.22
MV,hithadhoo,-0.6,73.08,84.9,100,88,15.26
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
GH,takoradi,4.89,-1.75,81.93,96,0,8.43
KI,butaritari,3.07,172.79,84.45,100,20,9.78
AR,ushuaia,-54.81,-68.31,47.43,61,75,24.16
AR,ushuaia,-54.81,-68.31,47.43,61,75,24.16
RU,severo-kurilsk,50.68,156.12,35.22,100,36,7.43
US,sidney,47.72,-104.16,69.8,68,90,10.29
SL,masingbi,8.64,-11.47,79.05,89,92,6.76
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
AU,hobart,-42.88,147.33,44.6,87,40,8.05
PF,faanui,-16.48,-151.75,79.59,100,56,10.67
US,kapaa,22.08,-159.32,74.21,88,90,13.87
CL,santiago,-33.44,-70.65,56.1,41,0,3.36
IN,vaini,15.34,74.49,74.28,98,80,1.16
US,kodiak,39.95,-94.76,91.4,43,1,12.75
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
VN,hue,16.47,107.58,78.8,94,40,3.36
CA,pangnirtung,66.15,-65.72,30.2,80,75,13.87
CA,tuktoyaktuk,69.44,-133.03,44.73,91,75,9.17
AU,new norfolk,-42.78,147.06,44.6,87,40,8.05
RU,severnoye,54.09,52.54,37.38,61,20,8.43
RU,koygorodok,60.44,51.01,43.77,44,68,6.31
US,basco,40.33,-91.2,91.74,38,1,3.36
AU,new norfolk,-42.78,147.06,44.6,87,40,8.05
CA,tuktoyaktuk,69.44,-133.03,44.73,91,75,9.17
AU,port augusta,-32.49,137.76,41.0,80,32,5.82
RU,provideniya,64.42,-173.23,32.25,93,92,11.23
IN,vaini,15.34,74.49,74.28,98,80,1.16
PE,lima,-12.06,-77.04,69.33,57,8,2.62
JP,hasaki,35.73,140.83,60.67,88,40,3.36
MT,san lawrenz,36.06,14.2,75.2,41,0,4.7
AR,barrow,-38.31,-60.23,48.36,81,92,11.68
SO,qandala,11.47,49.87,79.23,76,12,1.16
CA,torbay,47.66,-52.73,45.34,93,75,4.7
US,santa cruz,36.97,-122.03,65.64,45,1,3.18
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
AU,bluff,-23.58,149.07,41.61,79,0,7.2
UY,melo,-32.37,-54.17,58.53,86,92,17.49
AR,barrow,-38.31,-60.23,48.36,81,92,11.68
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
PG,kavieng,-2.57,150.8,75.27,100,92,5.3
GL,qaqortoq,60.72,-46.03,46.4,65,75,16.11
PT,ribeira grande,38.52,-28.7,69.8,88,40,6.93
BR,sao joao da barra,-21.64,-41.05,82.4,58,20,16.11
RU,strezhevoy,60.73,77.6,44.6,93,0,2.24
ZA,carnarvon,-30.97,22.13,39.45,89,0,7.54
ZA,port alfred,-33.59,26.89,62.58,88,0,19.62
AU,hobart,-42.88,147.33,44.6,87,40,8.05
PT,vila franca do campo,37.72,-25.43,66.2,72,20,8.05
RU,provideniya,64.42,-173.23,32.25,93,92,11.23
BR,caravelas,-17.73,-39.27,78.15,97,88,7.76
BN,victoria,5.28,115.24,77.0,94,75,12.8
PF,atuona,-9.8,-139.03,79.5,100,0,14.47
AR,ushuaia,-54.81,-68.31,47.41,61,75,24.16
AU,port keats,-14.25,129.55,69.96,64,0,13.47
BR,monte alegre,-2.0,-54.07,90.21,54,0,5.97
US,bethel,60.79,-161.76,51.8,71,75,9.17
BB,oistins,13.07,-59.53,84.2,70,40,21.92
ZA,cape town,-33.93,18.42,53.6,76,20,10.29
CA,saint-philippe,45.36,-73.48,81.91,65,20,3.36
ZA,kruisfontein,-34.0,24.73,59.43,82,0,19.17
IS,grindavik,63.84,-22.43,46.4,75,20,13.87
NZ,mataura,-46.19,168.86,16.77,66,12,2.73
